index	id	week	category	description
0	KPI01	19	Инцидент	МФГ: Не своевременно разгрузка товара со склада,оператор ошибочно не завершил вовремя ;
1	KPI01	24	Отклонение	МФГ: Не своевременно разгрузка товара со склада по заданию 000010939 ,оператор ошибочно не завершил вовремя (Кабылбекова Р.);
2	KPI01	25	Отклонение	МФГ: В связи с большими расхождениями, пересчитывали 3 раза короба.;
3	KPI01	34	Отклонение	"МФГ: Сотрудник допустил ошибку, не завершив задание 000012864 вовремя.; 
МФГ: Сотрудник допустил ошибку, не завершив задание 000012865 вовремя.;"
4	KPI01	35	Отклонение	МФГ: По заданиям 000012913, 000012997 несвоевременно завершено. оператор ошибочно не завершил вовремя.;
5	KPI02	11	Инцидент	МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ;
6	KPI02	18	Инцидент	МФГ: Не своевременно разгрузка оборудования со склада,оператор ошибочно не завершил вовремя ;
7	KPI02	21	Отклонение	МФГ: Не своевременно разгрузка оборудования со склада,оператор ошибочно не завершил вовремя (000010567,000010535);
8	KPI02	22	Отклонение	МФГ: Не своевременно разгрузка оборудования со склада,оператор ошибочно не завершил вовремя (10639, 010640);
9	KPI02	25	Отклонение	МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ;
10	KPI02	26	Отклонение	МФГ: Не своевременно выгрузка оборудавния, по причине большого объема разгрузки. Номер ЗТС 000011327;
11	KPI02	26	Сбой	МФГ: Склад При разгрузки водиля ,не посмотрел содержимое пакетов и отнес их на товарный склад,тем самым усложнил поиски данных пакетов;
12	KPI02	34	Отклонение	МФГ: Сотрудник допустил ошибку, не завершив задание 000012831 вовремя.;
13	KPI02	38	Отклонение	МФГ: Сотрудник допустил ошибку, не завершив задание 000013557 вовремя;
14	KPI03	10	Инцидент	"МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ; 
МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ; 
МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ; 
МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ;"
15	KPI03	18	Инцидент	МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ;
16	KPI03	20	Инцидент	МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ;
17	KPI03	25	Отклонение	МФГ: Не своевременно отгрузка товара со склада,оператор ошибочно не завершил вовремя ;
18	KPI03	27	Отклонение	МФГ: По заданию ТС 000011468 не завершили своевременно, в связи с тем, что водитель приехал на погрузку после окончания рабочего дня. Завершить задание после окончания рабочего дня не представлялось возможным (нет доступа). Оператора в ночь не было.;
19	KPI03	32	Отклонение	SL: По заданию ТС 000012416 грузилась машина на открытие валовой погрузкой.Мега-Парнас SL-2 (СПб);
20	KPI03	37	Отклонение	МФГ: Сотрудник допустил ошибку, не завершив задание 000013467 вовремя. по заданию 000013354 погрузка заняла больше времени, чем планировалось.;
21	KPI03	38	Отклонение	МФГ: Сотрудник допустил ошибку, не завершив задание 000013629 вовремя;
22	KPI04	12	Инцидент	МФГ: Не своевременно обработанные возвраты на сток, по причине вывоза товара на временное хранение с дальнейшей отправкой грузополучателю;
23	KPI04	20	Инцидент	МФГ: Не своевременно обработанные возвраты на сток, по причине вывоза товара на временное хранение с дальнейшей отправкой грузополучателю;
24	KPI04	21	Отклонение	МФГ: Временно приостановлена приемка возвратов, приоритет по другим задачам.;
25	KPI04	22	Отклонение	МФГ: Не своевременно обработанные возвраты на сток, по причине вывоза товара на временное хранение с дальнейшей отправкой грузополучателю;
26	KPI04	24	Отклонение	МФГ: Не своевременно обработанные возвраты на сток, по причине инвентаризации склада ;
27	KPI04	26	Отклонение	МФГ: Временно приостановлена приемка возвратов, приоритет по другим задачам.;
28	KPI04	28	Отклонение	МФГ: Не своевременно обработанные возвраты на сток, по причине вывоза товара на временное хранение с дальнейшей отправкой грузополучателю;
29	KPI04	29	Отклонение	МФГ: Не своевременно обработанные возвраты на сток, по причине вывоза товара на временное хранение с дальнейшей отправкой грузополучателю;
30	KPI04	30	Отклонение	МФГ: Не своевременно обработанные возвраты на сток, по причине вывоза товара на временное хранение с дальнейшей отправкой грузополучателю;
31	KPI04	35	Отклонение	МФГ: Не своевременно обработанные возвраты на сток, по причине вывоза товара на временное хранение с дальнейшей отправкой грузополучателю;
32	KPI04	36	Отклонение	ZR: Вывоз товара на временное хранение;
33	KPI04	37	Отклонение	ZR: Вывоз товара на временное хранение;
34	KPI04	38	Отклонение	МФГ: Вывоз товара на временное хранение, перенаправление товара на Фамилию ;
35	KPI05	21	Отклонение	МФГ: Временно приостановлена приемка возвратов, приоритет по другим задачам.;
36	KPI05	35	Отклонение	ZR: Запущена приемка на 21 тыс ед. ZR;
37	KPI05	38	Отклонение	МФГ: Запущена приемка ZR;
38	KPI08	13	Инцидент	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.;
39	KPI08	15	Инцидент	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.;
40	KPI08	16	Инцидент	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.;
41	KPI08	17	Инцидент	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.;
42	KPI08	19	Инцидент	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.;
43	KPI08	20	Инцидент	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.;
44	KPI08	21	Отклонение	МФГ: Временно приостановлена приемка возвратов, приоритет по другим задачам.;
45	KPI08	22	Отклонение	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.;
46	KPI08	28	Отклонение	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы, приоритетность строго не выставлена.;
47	KPI08	29	Отклонение	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы, приоритетность строго не выставлена.;
48	KPI08	30	Отклонение	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы, приоритетность строго не выставлена.;
49	KPI08	32	Отклонение	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы, приоритетность строго не выставлена.;
50	KPI08	33	Отклонение	"МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго.	Товар	Приемка	Вся неделя;"
51	KPI08	34	Отклонение	МФГ: Проблема с приёмкой товара: не выставлена приоритетность содержимого коробов с возвратами из розницы. Товар принимается в течение недели.;
52	KPI08	35	Отклонение	МФГ: Не своевременное принятие содержимого коробов, содержащих возвраты из розницы.,приоритетность не выставлена строго;
53	KPI08	37	Отклонение	МФГ: приоритетность была на комплектацию заказов со стока.;
54	KPI08	38	Отклонение	SL: Приоритетность на комплектацию заказов со стока.;
55	KPI10	26	Инцидент	МФГ: По результатам недели очень низкая производительность у сотрудника Жаныбаев Улукбек;
56	KPI11	14	Инцидент	МФГ: Кол-во проблемных коробов 12 шт, письма написаны, по 3м из них активная переписка.;
57	KPI11	20	Инцидент	МФГ: Ожидание ответа от Бренда/ ОВЛ;
58	KPI11	22	Отклонение	МФГ: При инвентаризации был выявлен паллет с коробами из Техногрупп(16кор);
59	KPI11	36	Инцидент	МФГ: 23 проблемных короба, письма написаны, ожидаем приемки;
60	KPI13	12	Инцидент	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
61	KPI13	13	Инцидент	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
62	KPI13	14	Инцидент	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
63	KPI13	15	Инцидент	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
64	KPI13	16	Инцидент	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
65	KPI13	17	Инцидент	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
66	KPI13	19	Инцидент	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
67	KPI13	20	Инцидент	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
68	KPI13	21	Отклонение	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
69	KPI13	22	Отклонение	МФГ: Не своевременно закрыты приемки коробов, операторы забывают, пропускают.;
70	KPI13	24	Отклонение	"МФГ: Не своевременно закрыта приемки 10115460, 10115552_x000D_
;"
